,metric_name,description,value
5166,"fill rate (rec1876,gowns)",fill rate of recipient rec1876 limited to gowns,0.0
5167,"fill rate (rec1876,handmadeMasks)",fill rate of recipient rec1876 limited to handmadeMasks,0.0
5168,"fill rate (rec1876,respirators)",fill rate of recipient rec1876 limited to respirators,0.0
5169,"fill rate (rec1876,surgicalMasks)",fill rate of recipient rec1876 limited to surgicalMasks,0.0
5170,"fill rate (rec1877,respirators)",fill rate of recipient rec1877 limited to respirators,0.0
5171,"fill rate (rec1877,surgicalMasks)",fill rate of recipient rec1877 limited to surgicalMasks,0.0
5172,"fill rate (rec1878,disinfectingWipes)",fill rate of recipient rec1878 limited to disinfectingWipes,0.0
5173,"fill rate (rec1878,faceShields)",fill rate of recipient rec1878 limited to faceShields,0.0
5174,"fill rate (rec1878,handmadeMasks)",fill rate of recipient rec1878 limited to handmadeMasks,0.0
5175,"fill rate (rec1878,respirators)",fill rate of recipient rec1878 limited to respirators,0.0
5176,"fill rate (rec1878,surgicalMasks)",fill rate of recipient rec1878 limited to surgicalMasks,0.0
5177,"fill rate (rec1879,disinfectingWipes)",fill rate of recipient rec1879 limited to disinfectingWipes,0.0
5178,"fill rate (rec1879,faceShields)",fill rate of recipient rec1879 limited to faceShields,0.0
5179,"fill rate (rec1879,gowns)",fill rate of recipient rec1879 limited to gowns,0.0
5180,"fill rate (rec1879,respirators)",fill rate of recipient rec1879 limited to respirators,0.0
5181,"fill rate (rec1879,surgicalMasks)",fill rate of recipient rec1879 limited to surgicalMasks,0.0
5182,"fill rate (rec188,faceShields)",fill rate of recipient rec188 limited to faceShields,0.0
5183,"fill rate (rec188,gowns)",fill rate of recipient rec188 limited to gowns,0.0
5184,"fill rate (rec188,nitrileGloves)",fill rate of recipient rec188 limited to nitrileGloves,0.0
5185,"fill rate (rec188,respirators)",fill rate of recipient rec188 limited to respirators,0.0
5186,"fill rate (rec1880,disinfectingWipes)",fill rate of recipient rec1880 limited to disinfectingWipes,0.0
5187,"fill rate (rec1880,faceShields)",fill rate of recipient rec1880 limited to faceShields,0.0
5188,"fill rate (rec1880,gowns)",fill rate of recipient rec1880 limited to gowns,0.0
5189,"fill rate (rec1880,handmadeMasks)",fill rate of recipient rec1880 limited to handmadeMasks,0.0
5190,"fill rate (rec1880,respirators)",fill rate of recipient rec1880 limited to respirators,0.0
5191,"fill rate (rec1880,surgicalMasks)",fill rate of recipient rec1880 limited to surgicalMasks,0.0
5192,"fill rate (rec1881,disinfectingWipes)",fill rate of recipient rec1881 limited to disinfectingWipes,0.0
5193,"fill rate (rec1881,faceShields)",fill rate of recipient rec1881 limited to faceShields,0.0
5194,"fill rate (rec1881,gowns)",fill rate of recipient rec1881 limited to gowns,0.0
5195,"fill rate (rec1881,handmadeMasks)",fill rate of recipient rec1881 limited to handmadeMasks,0.0
5196,"fill rate (rec1881,respirators)",fill rate of recipient rec1881 limited to respirators,0.0
5197,"fill rate (rec1881,surgicalMasks)",fill rate of recipient rec1881 limited to surgicalMasks,0.0
5198,"fill rate (rec1882,surgicalMasks)",fill rate of recipient rec1882 limited to surgicalMasks,0.0
5199,"fill rate (rec1883,disinfectingWipes)",fill rate of recipient rec1883 limited to disinfectingWipes,0.0
5200,"fill rate (rec1883,faceShields)",fill rate of recipient rec1883 limited to faceShields,0.0
5201,"fill rate (rec1883,gowns)",fill rate of recipient rec1883 limited to gowns,0.0
5202,"fill rate (rec1883,handmadeMasks)",fill rate of recipient rec1883 limited to handmadeMasks,0.0
5203,"fill rate (rec1883,respirators)",fill rate of recipient rec1883 limited to respirators,0.0
5204,"fill rate (rec1883,surgicalMasks)",fill rate of recipient rec1883 limited to surgicalMasks,0.0
5205,"fill rate (rec1884,disinfectingWipes)",fill rate of recipient rec1884 limited to disinfectingWipes,0.0
5206,"fill rate (rec1884,faceShields)",fill rate of recipient rec1884 limited to faceShields,0.0
5207,"fill rate (rec1884,gowns)",fill rate of recipient rec1884 limited to gowns,0.0
5208,"fill rate (rec1884,respirators)",fill rate of recipient rec1884 limited to respirators,0.0
5209,"fill rate (rec1884,surgicalMasks)",fill rate of recipient rec1884 limited to surgicalMasks,0.0
5210,"fill rate (rec1885,disinfectingWipes)",fill rate of recipient rec1885 limited to disinfectingWipes,0.0
5211,"fill rate (rec1885,faceShields)",fill rate of recipient rec1885 limited to faceShields,0.0
5212,"fill rate (rec1885,gowns)",fill rate of recipient rec1885 limited to gowns,0.0
5213,"fill rate (rec1885,handmadeMasks)",fill rate of recipient rec1885 limited to handmadeMasks,0.0
5214,"fill rate (rec1885,respirators)",fill rate of recipient rec1885 limited to respirators,0.0
5215,"fill rate (rec1885,surgicalMasks)",fill rate of recipient rec1885 limited to surgicalMasks,0.0
5216,"fill rate (rec1886,faceShields)",fill rate of recipient rec1886 limited to faceShields,0.0
5217,"fill rate (rec1886,gowns)",fill rate of recipient rec1886 limited to gowns,0.0
5218,"fill rate (rec1886,respirators)",fill rate of recipient rec1886 limited to respirators,0.0
5219,"fill rate (rec1887,disinfectingWipes)",fill rate of recipient rec1887 limited to disinfectingWipes,0.0
5220,"fill rate (rec1887,faceShields)",fill rate of recipient rec1887 limited to faceShields,0.0
5221,"fill rate (rec1887,gowns)",fill rate of recipient rec1887 limited to gowns,0.0
5222,"fill rate (rec1887,handmadeMasks)",fill rate of recipient rec1887 limited to handmadeMasks,0.0
5223,"fill rate (rec1887,respirators)",fill rate of recipient rec1887 limited to respirators,0.0
5224,"fill rate (rec1887,surgicalMasks)",fill rate of recipient rec1887 limited to surgicalMasks,0.0
5225,"fill rate (rec1888,disinfectingWipes)",fill rate of recipient rec1888 limited to disinfectingWipes,0.0
5226,"fill rate (rec1888,faceShields)",fill rate of recipient rec1888 limited to faceShields,0.0
5227,"fill rate (rec1888,gowns)",fill rate of recipient rec1888 limited to gowns,0.0
5228,"fill rate (rec1888,handmadeMasks)",fill rate of recipient rec1888 limited to handmadeMasks,0.0
5229,"fill rate (rec1888,respirators)",fill rate of recipient rec1888 limited to respirators,0.0
5230,"fill rate (rec1888,surgicalMasks)",fill rate of recipient rec1888 limited to surgicalMasks,0.0
5231,"fill rate (rec1889,disinfectingWipes)",fill rate of recipient rec1889 limited to disinfectingWipes,0.0
5232,"fill rate (rec1889,faceShields)",fill rate of recipient rec1889 limited to faceShields,0.0
5233,"fill rate (rec1889,gowns)",fill rate of recipient rec1889 limited to gowns,0.0
5234,"fill rate (rec1889,handmadeMasks)",fill rate of recipient rec1889 limited to handmadeMasks,0.0
5235,"fill rate (rec1889,respirators)",fill rate of recipient rec1889 limited to respirators,0.0
5236,"fill rate (rec1889,surgicalMasks)",fill rate of recipient rec1889 limited to surgicalMasks,0.0
5237,"fill rate (rec189,disinfectingWipes)",fill rate of recipient rec189 limited to disinfectingWipes,0.0
5238,"fill rate (rec189,disposableBooties)",fill rate of recipient rec189 limited to disposableBooties,0.0
5239,"fill rate (rec189,faceShields)",fill rate of recipient rec189 limited to faceShields,0.0
5240,"fill rate (rec189,gowns)",fill rate of recipient rec189 limited to gowns,0.0
5241,"fill rate (rec189,handSanitizer)",fill rate of recipient rec189 limited to handSanitizer,0.0
5242,"fill rate (rec189,handmadeMasks)",fill rate of recipient rec189 limited to handmadeMasks,0.0
5243,"fill rate (rec189,nitrileGloves)",fill rate of recipient rec189 limited to nitrileGloves,0.0
5244,"fill rate (rec189,respirators)",fill rate of recipient rec189 limited to respirators,0.0
5245,"fill rate (rec1890,disinfectingWipes)",fill rate of recipient rec1890 limited to disinfectingWipes,0.0
5246,"fill rate (rec1890,faceShields)",fill rate of recipient rec1890 limited to faceShields,0.0
5247,"fill rate (rec1890,gowns)",fill rate of recipient rec1890 limited to gowns,0.0
5248,"fill rate (rec1890,handmadeMasks)",fill rate of recipient rec1890 limited to handmadeMasks,0.0
5249,"fill rate (rec1890,respirators)",fill rate of recipient rec1890 limited to respirators,0.0
5250,"fill rate (rec1890,surgicalMasks)",fill rate of recipient rec1890 limited to surgicalMasks,0.0
5251,"fill rate (rec1891,faceShields)",fill rate of recipient rec1891 limited to faceShields,0.0
5252,"fill rate (rec1891,respirators)",fill rate of recipient rec1891 limited to respirators,0.0
5253,"fill rate (rec1892,disinfectingWipes)",fill rate of recipient rec1892 limited to disinfectingWipes,0.0
5254,"fill rate (rec1892,faceShields)",fill rate of recipient rec1892 limited to faceShields,0.0
5255,"fill rate (rec1892,gowns)",fill rate of recipient rec1892 limited to gowns,0.0
5256,"fill rate (rec1892,respirators)",fill rate of recipient rec1892 limited to respirators,0.0
5257,"fill rate (rec1892,surgicalMasks)",fill rate of recipient rec1892 limited to surgicalMasks,0.0
5258,"fill rate (rec1893,disinfectingWipes)",fill rate of recipient rec1893 limited to disinfectingWipes,0.0
5259,"fill rate (rec1893,faceShields)",fill rate of recipient rec1893 limited to faceShields,0.0
5260,"fill rate (rec1893,gowns)",fill rate of recipient rec1893 limited to gowns,0.0
5261,"fill rate (rec1893,respirators)",fill rate of recipient rec1893 limited to respirators,0.0
5262,"fill rate (rec1894,surgicalMasks)",fill rate of recipient rec1894 limited to surgicalMasks,0.0
5263,"fill rate (rec1895,disinfectingWipes)",fill rate of recipient rec1895 limited to disinfectingWipes,0.0
5264,"fill rate (rec1895,respirators)",fill rate of recipient rec1895 limited to respirators,0.0
5265,"fill rate (rec1896,disinfectingWipes)",fill rate of recipient rec1896 limited to disinfectingWipes,0.0
5266,"fill rate (rec1896,faceShields)",fill rate of recipient rec1896 limited to faceShields,0.0
5267,"fill rate (rec1896,gowns)",fill rate of recipient rec1896 limited to gowns,0.0
5268,"fill rate (rec1896,respirators)",fill rate of recipient rec1896 limited to respirators,0.0
5269,"fill rate (rec1896,surgicalMasks)",fill rate of recipient rec1896 limited to surgicalMasks,0.0
5270,"fill rate (rec1897,disinfectingWipes)",fill rate of recipient rec1897 limited to disinfectingWipes,0.0
5271,"fill rate (rec1897,faceShields)",fill rate of recipient rec1897 limited to faceShields,0.0
5272,"fill rate (rec1897,gowns)",fill rate of recipient rec1897 limited to gowns,0.0
5273,"fill rate (rec1897,respirators)",fill rate of recipient rec1897 limited to respirators,0.0
5274,"fill rate (rec1897,surgicalMasks)",fill rate of recipient rec1897 limited to surgicalMasks,0.0
5275,"fill rate (rec1898,disinfectingWipes)",fill rate of recipient rec1898 limited to disinfectingWipes,0.0
5276,"fill rate (rec1898,faceShields)",fill rate of recipient rec1898 limited to faceShields,0.0
5277,"fill rate (rec1898,gowns)",fill rate of recipient rec1898 limited to gowns,0.0
5278,"fill rate (rec1898,respirators)",fill rate of recipient rec1898 limited to respirators,0.0
5279,"fill rate (rec1898,surgicalMasks)",fill rate of recipient rec1898 limited to surgicalMasks,0.0
5280,"fill rate (rec1899,gowns)",fill rate of recipient rec1899 limited to gowns,0.0
5281,"fill rate (rec1899,surgicalMasks)",fill rate of recipient rec1899 limited to surgicalMasks,0.0
5282,"fill rate (rec19,disinfectingWipes)",fill rate of recipient rec19 limited to disinfectingWipes,0.0
5283,"fill rate (rec19,disposableBooties)",fill rate of recipient rec19 limited to disposableBooties,0.0
5284,"fill rate (rec19,faceShields)",fill rate of recipient rec19 limited to faceShields,0.0
5285,"fill rate (rec19,gowns)",fill rate of recipient rec19 limited to gowns,0.0
5286,"fill rate (rec19,handmadeMasks)",fill rate of recipient rec19 limited to handmadeMasks,0.0
5287,"fill rate (rec19,respirators)",fill rate of recipient rec19 limited to respirators,0.0
5288,"fill rate (rec19,thermometers)",fill rate of recipient rec19 limited to thermometers,0.0
5289,"fill rate (rec190,disposableBooties)",fill rate of recipient rec190 limited to disposableBooties,0.0
5290,"fill rate (rec190,faceShields)",fill rate of recipient rec190 limited to faceShields,0.0
5291,"fill rate (rec190,gowns)",fill rate of recipient rec190 limited to gowns,0.0
5292,"fill rate (rec190,respirators)",fill rate of recipient rec190 limited to respirators,0.0
5293,"fill rate (rec1900,handmadeMasks)",fill rate of recipient rec1900 limited to handmadeMasks,0.0
5294,"fill rate (rec1900,respirators)",fill rate of recipient rec1900 limited to respirators,0.0
5295,"fill rate (rec1900,surgicalMasks)",fill rate of recipient rec1900 limited to surgicalMasks,0.0
5296,"fill rate (rec1901,disinfectingWipes)",fill rate of recipient rec1901 limited to disinfectingWipes,0.0
5297,"fill rate (rec1901,faceShields)",fill rate of recipient rec1901 limited to faceShields,0.0
5298,"fill rate (rec1901,gowns)",fill rate of recipient rec1901 limited to gowns,0.0
5299,"fill rate (rec1901,handmadeMasks)",fill rate of recipient rec1901 limited to handmadeMasks,0.0
5300,"fill rate (rec1901,respirators)",fill rate of recipient rec1901 limited to respirators,0.0
5301,"fill rate (rec1901,surgicalMasks)",fill rate of recipient rec1901 limited to surgicalMasks,0.0
5302,"fill rate (rec1902,disinfectingWipes)",fill rate of recipient rec1902 limited to disinfectingWipes,0.0
5303,"fill rate (rec1902,faceShields)",fill rate of recipient rec1902 limited to faceShields,0.0
5304,"fill rate (rec1902,gowns)",fill rate of recipient rec1902 limited to gowns,0.0
5305,"fill rate (rec1902,respirators)",fill rate of recipient rec1902 limited to respirators,0.0
5306,"fill rate (rec1903,faceShields)",fill rate of recipient rec1903 limited to faceShields,0.0
5307,"fill rate (rec1903,gowns)",fill rate of recipient rec1903 limited to gowns,0.0
5308,"fill rate (rec1903,handmadeMasks)",fill rate of recipient rec1903 limited to handmadeMasks,0.0
5309,"fill rate (rec1903,respirators)",fill rate of recipient rec1903 limited to respirators,0.0
5310,"fill rate (rec1904,disinfectingWipes)",fill rate of recipient rec1904 limited to disinfectingWipes,0.0
5311,"fill rate (rec1904,faceShields)",fill rate of recipient rec1904 limited to faceShields,0.0
5312,"fill rate (rec1904,gowns)",fill rate of recipient rec1904 limited to gowns,0.0
5313,"fill rate (rec1904,respirators)",fill rate of recipient rec1904 limited to respirators,0.0
5314,"fill rate (rec1904,surgicalMasks)",fill rate of recipient rec1904 limited to surgicalMasks,0.0
5315,"fill rate (rec1905,disinfectingWipes)",fill rate of recipient rec1905 limited to disinfectingWipes,0.0
5316,"fill rate (rec1905,faceShields)",fill rate of recipient rec1905 limited to faceShields,0.0
5317,"fill rate (rec1905,gowns)",fill rate of recipient rec1905 limited to gowns,0.0
5318,"fill rate (rec1905,respirators)",fill rate of recipient rec1905 limited to respirators,0.0
5319,"fill rate (rec1906,disinfectingWipes)",fill rate of recipient rec1906 limited to disinfectingWipes,0.0
5320,"fill rate (rec1906,faceShields)",fill rate of recipient rec1906 limited to faceShields,0.0
5321,"fill rate (rec1906,gowns)",fill rate of recipient rec1906 limited to gowns,0.0
5322,"fill rate (rec1906,handmadeMasks)",fill rate of recipient rec1906 limited to handmadeMasks,0.0
5323,"fill rate (rec1906,respirators)",fill rate of recipient rec1906 limited to respirators,0.0
5324,"fill rate (rec1907,disinfectingWipes)",fill rate of recipient rec1907 limited to disinfectingWipes,0.0
5325,"fill rate (rec1907,faceShields)",fill rate of recipient rec1907 limited to faceShields,0.0
5326,"fill rate (rec1907,gowns)",fill rate of recipient rec1907 limited to gowns,0.0
5327,"fill rate (rec1907,respirators)",fill rate of recipient rec1907 limited to respirators,0.0
5328,"fill rate (rec1907,surgicalMasks)",fill rate of recipient rec1907 limited to surgicalMasks,0.0
5329,"fill rate (rec1908,disinfectingWipes)",fill rate of recipient rec1908 limited to disinfectingWipes,0.0
5330,"fill rate (rec1908,faceShields)",fill rate of recipient rec1908 limited to faceShields,0.0
5331,"fill rate (rec1908,gowns)",fill rate of recipient rec1908 limited to gowns,0.0
5332,"fill rate (rec1908,handmadeMasks)",fill rate of recipient rec1908 limited to handmadeMasks,0.0
5333,"fill rate (rec1908,respirators)",fill rate of recipient rec1908 limited to respirators,0.0
5334,"fill rate (rec1908,surgicalMasks)",fill rate of recipient rec1908 limited to surgicalMasks,0.0
5335,"fill rate (rec1909,disinfectingWipes)",fill rate of recipient rec1909 limited to disinfectingWipes,0.0
5336,"fill rate (rec1909,faceShields)",fill rate of recipient rec1909 limited to faceShields,0.0
5337,"fill rate (rec1909,gowns)",fill rate of recipient rec1909 limited to gowns,0.0
5338,"fill rate (rec1909,handmadeMasks)",fill rate of recipient rec1909 limited to handmadeMasks,0.0
5339,"fill rate (rec1909,respirators)",fill rate of recipient rec1909 limited to respirators,0.0
5340,"fill rate (rec1909,surgicalMasks)",fill rate of recipient rec1909 limited to surgicalMasks,0.0
5341,"fill rate (rec191,disinfectingWipes)",fill rate of recipient rec191 limited to disinfectingWipes,0.0
5342,"fill rate (rec191,disposableBooties)",fill rate of recipient rec191 limited to disposableBooties,0.0
5343,"fill rate (rec191,faceShields)",fill rate of recipient rec191 limited to faceShields,0.0
5344,"fill rate (rec191,gowns)",fill rate of recipient rec191 limited to gowns,0.0
5345,"fill rate (rec191,handSanitizer)",fill rate of recipient rec191 limited to handSanitizer,0.0
5346,"fill rate (rec191,respirators)",fill rate of recipient rec191 limited to respirators,0.0
5347,"fill rate (rec191,thermometers)",fill rate of recipient rec191 limited to thermometers,0.0
5348,"fill rate (rec1910,disinfectingWipes)",fill rate of recipient rec1910 limited to disinfectingWipes,0.0
5349,"fill rate (rec1910,faceShields)",fill rate of recipient rec1910 limited to faceShields,0.0
5350,"fill rate (rec1910,handmadeMasks)",fill rate of recipient rec1910 limited to handmadeMasks,0.0
5351,"fill rate (rec1910,respirators)",fill rate of recipient rec1910 limited to respirators,0.0
5352,"fill rate (rec1910,surgicalMasks)",fill rate of recipient rec1910 limited to surgicalMasks,0.0
5353,"fill rate (rec1911,disinfectingWipes)",fill rate of recipient rec1911 limited to disinfectingWipes,0.0
5354,"fill rate (rec1911,faceShields)",fill rate of recipient rec1911 limited to faceShields,0.0
5355,"fill rate (rec1912,disinfectingWipes)",fill rate of recipient rec1912 limited to disinfectingWipes,0.0
5356,"fill rate (rec1912,handmadeMasks)",fill rate of recipient rec1912 limited to handmadeMasks,0.0
5357,"fill rate (rec1912,respirators)",fill rate of recipient rec1912 limited to respirators,0.0
5358,"fill rate (rec1913,faceShields)",fill rate of recipient rec1913 limited to faceShields,0.0
5359,"fill rate (rec1913,handmadeMasks)",fill rate of recipient rec1913 limited to handmadeMasks,0.0
5360,"fill rate (rec1913,respirators)",fill rate of recipient rec1913 limited to respirators,0.0
5361,"fill rate (rec1914,disinfectingWipes)",fill rate of recipient rec1914 limited to disinfectingWipes,0.0
5362,"fill rate (rec1914,gowns)",fill rate of recipient rec1914 limited to gowns,0.0
5363,"fill rate (rec1914,respirators)",fill rate of recipient rec1914 limited to respirators,0.0
5364,"fill rate (rec1914,surgicalMasks)",fill rate of recipient rec1914 limited to surgicalMasks,0.0
5365,"fill rate (rec1915,disinfectingWipes)",fill rate of recipient rec1915 limited to disinfectingWipes,0.0
5366,"fill rate (rec1915,faceShields)",fill rate of recipient rec1915 limited to faceShields,0.0
5367,"fill rate (rec1915,respirators)",fill rate of recipient rec1915 limited to respirators,0.0
5368,"fill rate (rec1916,disinfectingWipes)",fill rate of recipient rec1916 limited to disinfectingWipes,0.0
5369,"fill rate (rec1916,gowns)",fill rate of recipient rec1916 limited to gowns,0.0
5370,"fill rate (rec1916,handmadeMasks)",fill rate of recipient rec1916 limited to handmadeMasks,0.0
5371,"fill rate (rec1916,respirators)",fill rate of recipient rec1916 limited to respirators,0.0
5372,"fill rate (rec1916,surgicalMasks)",fill rate of recipient rec1916 limited to surgicalMasks,0.0
5373,"fill rate (rec1917,disinfectingWipes)",fill rate of recipient rec1917 limited to disinfectingWipes,0.0
5374,"fill rate (rec1917,faceShields)",fill rate of recipient rec1917 limited to faceShields,0.0
5375,"fill rate (rec1917,gowns)",fill rate of recipient rec1917 limited to gowns,0.0
5376,"fill rate (rec1917,respirators)",fill rate of recipient rec1917 limited to respirators,0.0
5377,"fill rate (rec1917,surgicalMasks)",fill rate of recipient rec1917 limited to surgicalMasks,0.0
5378,"fill rate (rec1918,disinfectingWipes)",fill rate of recipient rec1918 limited to disinfectingWipes,0.0
5379,"fill rate (rec1918,faceShields)",fill rate of recipient rec1918 limited to faceShields,0.0
5380,"fill rate (rec1918,gowns)",fill rate of recipient rec1918 limited to gowns,0.0
5381,"fill rate (rec1918,handmadeMasks)",fill rate of recipient rec1918 limited to handmadeMasks,0.0
5382,"fill rate (rec1918,respirators)",fill rate of recipient rec1918 limited to respirators,0.0
5383,"fill rate (rec1918,surgicalMasks)",fill rate of recipient rec1918 limited to surgicalMasks,0.0
5384,"fill rate (rec1919,faceShields)",fill rate of recipient rec1919 limited to faceShields,0.0
5385,"fill rate (rec1919,surgicalMasks)",fill rate of recipient rec1919 limited to surgicalMasks,0.0
5386,"fill rate (rec192,disinfectingWipes)",fill rate of recipient rec192 limited to disinfectingWipes,0.0
5387,"fill rate (rec192,disposableBooties)",fill rate of recipient rec192 limited to disposableBooties,0.0
5388,"fill rate (rec192,faceShields)",fill rate of recipient rec192 limited to faceShields,0.0
5389,"fill rate (rec192,gowns)",fill rate of recipient rec192 limited to gowns,0.0
5390,"fill rate (rec192,handSanitizer)",fill rate of recipient rec192 limited to handSanitizer,0.0
5391,"fill rate (rec192,handmadeMasks)",fill rate of recipient rec192 limited to handmadeMasks,0.0
5392,"fill rate (rec192,nitrileGloves)",fill rate of recipient rec192 limited to nitrileGloves,0.0
5393,"fill rate (rec192,respirators)",fill rate of recipient rec192 limited to respirators,0.0
5394,"fill rate (rec192,thermometers)",fill rate of recipient rec192 limited to thermometers,0.0
5395,"fill rate (rec1920,disinfectingWipes)",fill rate of recipient rec1920 limited to disinfectingWipes,0.0
5396,"fill rate (rec1920,faceShields)",fill rate of recipient rec1920 limited to faceShields,0.0
5397,"fill rate (rec1920,handmadeMasks)",fill rate of recipient rec1920 limited to handmadeMasks,0.0
5398,"fill rate (rec1920,respirators)",fill rate of recipient rec1920 limited to respirators,0.0
5399,"fill rate (rec1920,surgicalMasks)",fill rate of recipient rec1920 limited to surgicalMasks,0.0
5400,"fill rate (rec1921,faceShields)",fill rate of recipient rec1921 limited to faceShields,0.0
5401,"fill rate (rec1921,respirators)",fill rate of recipient rec1921 limited to respirators,0.0
5402,"fill rate (rec1922,gowns)",fill rate of recipient rec1922 limited to gowns,0.0
5403,"fill rate (rec1923,disinfectingWipes)",fill rate of recipient rec1923 limited to disinfectingWipes,0.0
5404,"fill rate (rec1923,faceShields)",fill rate of recipient rec1923 limited to faceShields,0.0
5405,"fill rate (rec1923,gowns)",fill rate of recipient rec1923 limited to gowns,0.0
5406,"fill rate (rec1923,respirators)",fill rate of recipient rec1923 limited to respirators,0.0
5407,"fill rate (rec1923,surgicalMasks)",fill rate of recipient rec1923 limited to surgicalMasks,0.0
5408,"fill rate (rec1924,gowns)",fill rate of recipient rec1924 limited to gowns,0.0
5409,"fill rate (rec1924,respirators)",fill rate of recipient rec1924 limited to respirators,0.0
5410,"fill rate (rec1925,gowns)",fill rate of recipient rec1925 limited to gowns,0.0
5411,"fill rate (rec1925,respirators)",fill rate of recipient rec1925 limited to respirators,0.0
5412,"fill rate (rec1926,disinfectingWipes)",fill rate of recipient rec1926 limited to disinfectingWipes,0.0
5413,"fill rate (rec1926,faceShields)",fill rate of recipient rec1926 limited to faceShields,0.0
5414,"fill rate (rec1926,gowns)",fill rate of recipient rec1926 limited to gowns,0.0
5415,"fill rate (rec1926,respirators)",fill rate of recipient rec1926 limited to respirators,0.0
5416,"fill rate (rec1926,surgicalMasks)",fill rate of recipient rec1926 limited to surgicalMasks,0.0
5417,"fill rate (rec1927,disinfectingWipes)",fill rate of recipient rec1927 limited to disinfectingWipes,0.0
5418,"fill rate (rec1927,faceShields)",fill rate of recipient rec1927 limited to faceShields,0.0
5419,"fill rate (rec1927,handmadeMasks)",fill rate of recipient rec1927 limited to handmadeMasks,0.0
5420,"fill rate (rec1927,respirators)",fill rate of recipient rec1927 limited to respirators,0.0
5421,"fill rate (rec1927,surgicalMasks)",fill rate of recipient rec1927 limited to surgicalMasks,0.0
5422,"fill rate (rec1928,disinfectingWipes)",fill rate of recipient rec1928 limited to disinfectingWipes,0.0
5423,"fill rate (rec1928,gowns)",fill rate of recipient rec1928 limited to gowns,0.0
5424,"fill rate (rec1928,handmadeMasks)",fill rate of recipient rec1928 limited to handmadeMasks,0.0
5425,"fill rate (rec1928,respirators)",fill rate of recipient rec1928 limited to respirators,0.0
5426,"fill rate (rec1928,surgicalMasks)",fill rate of recipient rec1928 limited to surgicalMasks,0.0
5427,"fill rate (rec1929,handmadeMasks)",fill rate of recipient rec1929 limited to handmadeMasks,0.0
5428,"fill rate (rec1929,surgicalMasks)",fill rate of recipient rec1929 limited to surgicalMasks,0.0
5429,"fill rate (rec193,faceShields)",fill rate of recipient rec193 limited to faceShields,0.0
5430,"fill rate (rec193,gowns)",fill rate of recipient rec193 limited to gowns,0.0
5431,"fill rate (rec193,handSanitizer)",fill rate of recipient rec193 limited to handSanitizer,0.0
5432,"fill rate (rec193,respirators)",fill rate of recipient rec193 limited to respirators,0.0
5433,"fill rate (rec193,thermometers)",fill rate of recipient rec193 limited to thermometers,0.0
5434,"fill rate (rec1930,disinfectingWipes)",fill rate of recipient rec1930 limited to disinfectingWipes,0.0
5435,"fill rate (rec1930,faceShields)",fill rate of recipient rec1930 limited to faceShields,0.0
5436,"fill rate (rec1930,handmadeMasks)",fill rate of recipient rec1930 limited to handmadeMasks,0.0
5437,"fill rate (rec1930,respirators)",fill rate of recipient rec1930 limited to respirators,0.0
5438,"fill rate (rec1930,surgicalMasks)",fill rate of recipient rec1930 limited to surgicalMasks,0.0
5439,"fill rate (rec1931,disinfectingWipes)",fill rate of recipient rec1931 limited to disinfectingWipes,0.0
5440,"fill rate (rec1931,faceShields)",fill rate of recipient rec1931 limited to faceShields,0.0
5441,"fill rate (rec1931,gowns)",fill rate of recipient rec1931 limited to gowns,0.0
5442,"fill rate (rec1931,handmadeMasks)",fill rate of recipient rec1931 limited to handmadeMasks,0.0
5443,"fill rate (rec1931,respirators)",fill rate of recipient rec1931 limited to respirators,0.0
5444,"fill rate (rec1932,disinfectingWipes)",fill rate of recipient rec1932 limited to disinfectingWipes,0.0
5445,"fill rate (rec1932,respirators)",fill rate of recipient rec1932 limited to respirators,0.0
5446,"fill rate (rec1932,surgicalMasks)",fill rate of recipient rec1932 limited to surgicalMasks,0.0
5447,"fill rate (rec1933,disinfectingWipes)",fill rate of recipient rec1933 limited to disinfectingWipes,0.0
5448,"fill rate (rec1933,faceShields)",fill rate of recipient rec1933 limited to faceShields,0.0
5449,"fill rate (rec1933,gowns)",fill rate of recipient rec1933 limited to gowns,0.0
5450,"fill rate (rec1933,handmadeMasks)",fill rate of recipient rec1933 limited to handmadeMasks,0.0
5451,"fill rate (rec1933,respirators)",fill rate of recipient rec1933 limited to respirators,0.0
5452,"fill rate (rec1933,surgicalMasks)",fill rate of recipient rec1933 limited to surgicalMasks,0.0
5453,"fill rate (rec1934,disinfectingWipes)",fill rate of recipient rec1934 limited to disinfectingWipes,0.0
5454,"fill rate (rec1934,faceShields)",fill rate of recipient rec1934 limited to faceShields,0.0
5455,"fill rate (rec1934,gowns)",fill rate of recipient rec1934 limited to gowns,0.0
5456,"fill rate (rec1934,handmadeMasks)",fill rate of recipient rec1934 limited to handmadeMasks,0.0
5457,"fill rate (rec1934,respirators)",fill rate of recipient rec1934 limited to respirators,0.0
5458,"fill rate (rec1934,surgicalMasks)",fill rate of recipient rec1934 limited to surgicalMasks,0.0
5459,"fill rate (rec1935,disinfectingWipes)",fill rate of recipient rec1935 limited to disinfectingWipes,0.0
5460,"fill rate (rec1935,faceShields)",fill rate of recipient rec1935 limited to faceShields,0.0
5461,"fill rate (rec1935,gowns)",fill rate of recipient rec1935 limited to gowns,0.0
5462,"fill rate (rec1935,respirators)",fill rate of recipient rec1935 limited to respirators,0.0
